2023-10-23 17:32:48, CPU: 3.9%, Memory: 2.09%
2023-10-23 17:32:49, CPU: 4.1%, Memory: 2.09%
2023-10-23 17:32:51, CPU: 3.9%, Memory: 2.08%
2023-10-23 17:32:52, CPU: 4.5%, Memory: 2.08%
2023-10-23 17:32:53, CPU: 3.5%, Memory: 2.08%
2023-10-23 17:32:54, CPU: 3.7%, Memory: 2.08%
2023-10-23 17:32:55, CPU: 3.7%, Memory: 2.08%
2023-10-23 17:32:56, CPU: 4.1%, Memory: 2.09%
2023-10-23 17:32:58, CPU: 4.1%, Memory: 2.08%
2023-10-23 17:32:59, CPU: 4.1%, Memory: 2.08%
2023-10-23 17:33:00, CPU: 3.3%, Memory: 2.08%
2023-10-23 17:33:01, CPU: 4.1%, Memory: 2.08%
2023-10-23 17:33:02, CPU: 4.3%, Memory: 2.08%
2023-10-23 17:33:03, CPU: 3.9%, Memory: 2.08%
2023-10-23 17:33:05, CPU: 3.3%, Memory: 2.08%
2023-10-23 17:33:06, CPU: 3.5%, Memory: 2.09%
2023-10-23 17:33:07, CPU: 4.3%, Memory: 2.09%
2023-10-23 17:33:08, CPU: 3.7%, Memory: 2.09%
2023-10-23 17:33:09, CPU: 4.5%, Memory: 2.09%
2023-10-23 17:33:10, CPU: 3.9%, Memory: 2.09%
2023-10-23 17:33:12, CPU: 4.3%, Memory: 2.09%
2023-10-23 17:33:13, CPU: 4.3%, Memory: 2.09%
2023-10-23 17:33:14, CPU: 3.9%, Memory: 2.09%
2023-10-23 17:33:15, CPU: 3.5%, Memory: 2.09%
2023-10-23 17:33:16, CPU: 4.1%, Memory: 2.09%
2023-10-23 17:33:17, CPU: 4.1%, Memory: 2.09%
2023-10-23 17:33:18, CPU: 3.9%, Memory: 2.09%
2023-10-23 17:33:20, CPU: 3.7%, Memory: 2.09%
2023-10-23 17:33:21, CPU: 4.3%, Memory: 2.09%
2023-10-23 17:33:22, CPU: 3.3%, Memory: 2.09%
2023-10-23 17:33:23, CPU: 4.1%, Memory: 2.09%
2023-10-23 17:33:24, CPU: 3.1%, Memory: 2.09%
2023-10-23 17:33:25, CPU: 3.7%, Memory: 2.09%
2023-10-23 17:33:27, CPU: 3.7%, Memory: 2.09%
2023-10-23 17:33:28, CPU: 4.1%, Memory: 2.09%
2023-10-23 17:33:29, CPU: 3.7%, Memory: 2.09%
2023-10-23 17:33:30, CPU: 3.1%, Memory: 2.09%
2023-10-23 17:33:31, CPU: 3.7%, Memory: 2.09%
2023-10-23 17:33:32, CPU: 4.1%, Memory: 2.09%
2023-10-23 17:33:34, CPU: 3.5%, Memory: 2.09%
2023-10-23 17:33:35, CPU: 3.9%, Memory: 2.09%
2023-10-23 17:33:36, CPU: 4.5%, Memory: 2.09%
2023-10-23 17:33:37, CPU: 4.1%, Memory: 2.09%
2023-10-23 17:33:38, CPU: 4.1%, Memory: 2.09%
2023-10-23 17:33:39, CPU: 3.5%, Memory: 2.09%
2023-10-23 17:33:40, CPU: 3.5%, Memory: 2.09%
2023-10-23 17:33:42, CPU: 4.3%, Memory: 2.09%
2023-10-23 17:33:43, CPU: 4.3%, Memory: 2.09%
2023-10-23 17:33:44, CPU: 5.1%, Memory: 2.09%
2023-10-23 17:33:45, CPU: 3.9%, Memory: 2.09%
2023-10-23 17:33:46, CPU: 3.9%, Memory: 2.09%
2023-10-23 17:33:47, CPU: 3.7%, Memory: 2.09%
2023-10-23 17:33:49, CPU: 3.5%, Memory: 2.09%
2023-10-23 17:33:50, CPU: 4.1%, Memory: 2.08%
2023-10-23 17:33:51, CPU: 4.1%, Memory: 2.08%
2023-10-23 17:33:52, CPU: 3.3%, Memory: 2.09%
2023-10-23 17:33:53, CPU: 3.7%, Memory: 2.09%
2023-10-23 17:33:54, CPU: 3.9%, Memory: 2.09%
2023-10-23 17:33:56, CPU: 3.7%, Memory: 2.09%
2023-10-23 17:33:57, CPU: 4.5%, Memory: 2.09%
2023-10-23 17:33:58, CPU: 3.7%, Memory: 2.09%
2023-10-23 17:33:59, CPU: 3.9%, Memory: 2.09%
2023-10-23 17:34:00, CPU: 4.5%, Memory: 2.09%
2023-10-23 17:34:01, CPU: 4.3%, Memory: 2.09%
2023-10-23 17:34:02, CPU: 3.7%, Memory: 2.09%
2023-10-23 17:34:04, CPU: 4.7%, Memory: 2.09%
2023-10-23 17:34:05, CPU: 3.7%, Memory: 2.09%
2023-10-23 17:34:06, CPU: 4.3%, Memory: 2.09%
2023-10-23 17:34:07, CPU: 3.9%, Memory: 2.09%
2023-10-23 17:34:08, CPU: 1%, Memory: 1.85%
2023-10-23 17:34:09, CPU: 0%, Memory: 1.85%
2023-10-23 17:34:11, CPU: 0.2%, Memory: 1.85%
2023-10-23 17:34:12, CPU: 0%, Memory: 1.85%
2023-10-23 17:34:13, CPU: 0%, Memory: 1.85%
2023-10-23 17:34:14, CPU: 0.2%, Memory: 1.85%
2023-10-23 17:34:15, CPU: 0.2%, Memory: 1.86%
2023-10-23 17:34:17, CPU: 0%, Memory: 1.86%
2023-10-23 17:34:18, CPU: 0.2%, Memory: 1.86%
2023-10-23 17:34:19, CPU: 0.2%, Memory: 1.85%
2023-10-23 17:34:20, CPU: 0%, Memory: 1.86%
2023-10-23 17:34:21, CPU: 0%, Memory: 1.86%
2023-10-23 17:34:22, CPU: 0%, Memory: 1.86%
2023-10-23 17:34:24, CPU: 0%, Memory: 1.85%
2023-10-23 17:34:25, CPU: 0%, Memory: 1.85%
